channel_1,channel_2,ch1_idx,ch2_idx,in_frozen_graph,frozen_graph_weight,mean_edge_sensitivity
P8-O2,P7-T7,15,18,False,0.0,0.057735998183488846
P8-O2,FZ-CZ,15,16,False,0.0,0.057457998394966125
C4-P4,P8-O2,10,15,False,0.0,0.05728200078010559
P7-O1,P7-T7,3,18,False,0.0,0.057089999318122864
C3-P3,P4-O2,6,11,False,0.0,0.057009000331163406
C3-P3,FP2-F8,6,12,False,0.0,0.05621200054883957
P3-O1,T8-P8,7,14,False,0.0,0.056088998913764954
P3-O1,T8-P8,7,22,False,0.0,0.056088998913764954
P4-O2,FP2-F8,11,12,False,0.0,0.05603799968957901
FP1-F7,F7-T7,0,1,False,0.0,0.055720001459121704
C3-P3,FT9-FT10,6,20,False,0.0,0.05550500005483627
P7-O1,C4-P4,3,10,False,0.0,0.05511600151658058
P7-O1,FP1-F3,3,4,False,0.0,0.05468299984931946
P4-O2,CZ-PZ,11,17,False,0.0,0.054420001804828644
P3-O1,F4-C4,7,9,False,0.0,0.054269999265670776
C3-P3,FT10-T8,6,21,False,0.0,0.05419300124049187
P3-O1,FT9-FT10,7,20,False,0.0,0.0539029985666275
P3-O1,C4-P4,7,10,False,0.0,0.0534840002655983
P8-O2,T7-FT9,15,19,False,0.0,0.05330999940633774
P4-O2,FZ-CZ,11,16,False,0.0,0.05317699909210205
P3-O1,FT10-T8,7,21,False,0.0,0.05288200080394745
C4-P4,FT9-FT10,10,20,False,0.0,0.052097998559474945
C4-P4,FP2-F8,10,12,False,0.0,0.051284998655319214
C4-P4,FZ-CZ,10,16,False,0.0,0.05122600123286247
P8-O2,T8-P8,15,22,False,0.0,0.051038000732660294
C4-P4,P7-T7,10,18,False,0.0,0.05067799985408783
P4-O2,T8-P8,11,22,False,0.0,0.0501910001039505
P4-O2,T8-P8,11,14,False,0.0,0.0501910001039505
P7-O1,P4-O2,3,11,False,0.0,0.04943700134754181
P3-O1,F8-T8,7,13,False,0.0,0.04937899857759476
FT9-FT10,T8-P8,20,22,False,0.0,0.04856099933385849
P4-O2,P7-T7,11,18,False,0.0,0.04793599992990494
P8-O2,FT9-FT10,15,20,False,0.0,0.04786999896168709
T7-FT9,FT10-T8,19,21,False,0.0,0.04785599932074547
FP2-F4,P7-T7,8,18,False,0.0,0.04703399911522865
FP2-F4,P8-O2,8,15,False,0.0,0.046532999724149704
P4-O2,P8-O2,11,15,True,0.2549,0.045527998358011246
T7-FT9,FT9-FT10,19,20,False,0.0,0.045485999435186386
C4-P4,P4-O2,10,11,False,0.0,0.045414999127388
F4-C4,CZ-PZ,9,17,True,0.1097,0.04516800120472908
F4-C4,F8-T8,9,13,True,0.1559,0.04479900002479553
F4-C4,P7-T7,9,18,False,0.0,0.044429000467061996
C3-P3,FP2-F4,6,8,False,0.0,0.044429000467061996
F4-C4,P8-O2,9,15,False,0.0,0.04437899962067604
P3-O1,FP2-F8,7,12,False,0.0,0.044169001281261444
F8-T8,T8-P8,13,14,False,0.0,0.04402599856257439
F8-T8,T8-P8,13,22,False,0.0,0.04402599856257439
F4-C4,T8-P8,9,22,False,0.0,0.04345199838280678
F4-C4,T8-P8,9,14,False,0.0,0.04345199838280678
CZ-PZ,T7-FT9,17,19,False,0.0,0.043428000062704086
T7-FT9,T8-P8,19,22,False,0.0,0.043090999126434326
F4-C4,FT10-T8,9,21,False,0.0,0.04288100078701973
FP2-F8,P7-T7,12,18,False,0.0,0.04257100075483322
F8-T8,FT10-T8,13,21,True,0.2827,0.0423399992287159
F7-T7,C3-P3,1,6,False,0.0,0.042204998433589935
F8-T8,P8-O2,13,15,False,0.0,0.04175499826669693
FP1-F3,P8-O2,4,15,False,0.0,0.04151799902319908
FP1-F7,T7-FT9,0,19,False,0.0,0.04141699895262718
FZ-CZ,CZ-PZ,16,17,False,0.0,0.041384000331163406
P7-O1,FP2-F8,3,12,False,0.0,0.04113899916410446
F4-C4,FZ-CZ,9,16,True,0.1789,0.041117001324892044
FP2-F8,FZ-CZ,12,16,True,0.0879,0.041085001081228256
FT9-FT10,FT10-T8,20,21,False,0.0,0.04094000160694122
F7-T7,T7-P7,1,2,False,0.0,0.0407009981572628
F7-T7,P7-O1,1,3,False,0.0,0.040633998811244965
FP2-F8,CZ-PZ,12,17,False,0.0,0.040591999888420105
P8-O2,FT10-T8,15,21,False,0.0,0.04034600034356117
FP2-F4,CZ-PZ,8,17,False,0.0,0.0402039997279644
F8-T8,CZ-PZ,13,17,False,0.0,0.04017199948430061
C4-P4,T7-FT9,10,19,False,0.0,0.04011699929833412
FZ-CZ,T8-P8,16,22,False,0.0,0.03984000161290169
FZ-CZ,P7-T7,16,18,False,0.0,0.039774999022483826
FP1-F3,P7-T7,4,18,False,0.0,0.039760999381542206
FP2-F8,T7-FT9,12,19,False,0.0,0.03968200087547302
F4-C4,FT9-FT10,9,20,False,0.0,0.03960400074720383
F4-C4,FP2-F8,9,12,True,0.0873,0.03946100175380707
F7-T7,P7-T7,1,18,False,0.0,0.03941499814391136
FP2-F4,T8-P8,8,22,False,0.0,0.03903000056743622
FP2-F4,T8-P8,8,14,False,0.0,0.03903000056743622
F7-T7,CZ-PZ,1,17,False,0.0,0.03843500092625618
FP1-F3,C3-P3,4,6,False,0.0,0.03842499852180481
FP2-F4,FT10-T8,8,21,False,0.0,0.03836999833583832
FP2-F8,FT10-T8,12,21,False,0.0,0.03819900006055832
F3-C3,CZ-PZ,5,17,True,0.1141,0.03819800168275833
FP1-F3,CZ-PZ,4,17,False,0.0,0.03813499957323074
FP1-F3,FT10-T8,4,21,False,0.0,0.03800300136208534
F3-C3,F8-T8,5,13,False,0.0,0.03780699893832207
F7-T7,T7-FT9,1,19,True,0.2797,0.037588998675346375
P3-O1,FP2-F4,7,8,False,0.0,0.037546999752521515
F3-C3,C3-P3,5,6,False,0.0,0.037425000220537186
FP2-F8,P8-O2,12,15,False,0.0,0.03739599883556366
FP2-F8,T8-P8,12,14,False,0.0,0.03739500045776367
FP2-F8,T8-P8,12,22,False,0.0,0.03739500045776367
FP2-F8,F8-T8,12,13,False,0.0,0.03738600015640259
F3-C3,T8-P8,5,14,False,0.0,0.03723600134253502
F3-C3,T8-P8,5,22,False,0.0,0.03723600134253502
F3-C3,FT10-T8,5,21,False,0.0,0.036442000418901443
F3-C3,P8-O2,5,15,False,0.0,0.036281000822782516
F7-T7,P8-O2,1,15,False,0.0,0.0362280011177063
F7-T7,P3-O1,1,7,False,0.0,0.036201998591423035
FP1-F3,P3-O1,4,7,False,0.0,0.036146000027656555
F7-T7,F3-C3,1,5,True,0.1433,0.03609300032258034
FP2-F8,FT9-FT10,12,20,True,0.1137,0.03590000048279762
FP2-F4,P4-O2,8,11,False,0.0,0.035891998559236526
FP1-F3,T8-P8,4,22,False,0.0,0.03580699861049652
FP1-F3,T8-P8,4,14,False,0.0,0.03580699861049652
F3-C3,P7-T7,5,18,False,0.0,0.03559200093150139
P7-O1,FP2-F4,3,8,False,0.0,0.03555700182914734
FP2-F4,T7-FT9,8,19,False,0.0,0.03540699928998947
F4-C4,C4-P4,9,10,False,0.0,0.035321999341249466
FZ-CZ,FT9-FT10,16,20,False,0.0,0.03501899912953377
FZ-CZ,FT10-T8,16,21,False,0.0,0.03482399880886078
FP1-F3,FT9-FT10,4,20,False,0.0,0.03472699970006943
F4-C4,P4-O2,9,11,False,0.0,0.034703001379966736
F4-C4,T7-FT9,9,19,False,0.0,0.034511998295784
F7-T7,T8-P8,1,22,False,0.0,0.033629998564720154
F7-T7,T8-P8,1,14,False,0.0,0.033629998564720154
F3-C3,FT9-FT10,5,20,False,0.0,0.03341799974441528
F3-C3,FP2-F8,5,12,True,0.0933,0.032620999962091446
FP2-F4,C4-P4,8,10,False,0.0,0.03258899971842766
FP2-F4,FT9-FT10,8,20,False,0.0,0.03258800134062767
F3-C3,P3-O1,5,7,False,0.0,0.032575998455286026
F3-C3,F4-C4,5,9,True,0.1428,0.032471999526023865
FZ-CZ,T7-FT9,16,19,False,0.0,0.032419998198747635
F8-T8,FT9-FT10,13,20,False,0.0,0.032343000173568726
FP2-F4,F8-T8,8,13,False,0.0,0.03211300075054169
FP1-F3,F8-T8,4,13,False,0.0,0.03201200067996979
FP1-F3,T7-FT9,4,19,False,0.0,0.03186799958348274
FP1-F3,P4-O2,4,11,False,0.0,0.031814999878406525
F3-C3,FZ-CZ,5,16,True,0.1846,0.03164299950003624
F7-T7,FT9-FT10,1,20,False,0.0,0.030944999307394028
FP1-F3,F3-C3,4,5,False,0.0,0.030896000564098358
FP1-F3,FP2-F8,4,12,True,0.147,0.030587000772356987
F7-T7,FT10-T8,1,21,False,0.0,0.030339999124407768
F7-T7,P4-O2,1,11,False,0.0,0.030226999893784523
F7-T7,C4-P4,1,10,False,0.0,0.03009600006043911
F8-T8,T7-FT9,13,19,False,0.0,0.029955999925732613
F3-C3,T7-FT9,5,19,False,0.0,0.02934800088405609
F7-T7,F8-T8,1,13,False,0.0,0.02927199937403202
FP1-F3,C4-P4,4,10,False,0.0,0.029242999851703644
F7-T7,F4-C4,1,9,False,0.0,0.029109999537467957
F8-T8,P7-T7,13,18,False,0.0,0.02856599912047386
F3-C3,C4-P4,5,10,False,0.0,0.028313999995589256
F3-C3,P4-O2,5,11,False,0.0,0.02797600068151951
FP1-F3,FP2-F4,4,8,True,0.258,0.027684999629855156
FP1-F3,F4-C4,4,9,False,0.0,0.027264999225735664
F7-T7,FZ-CZ,1,16,True,0.1051,0.026854999363422394
F7-T7,FP2-F8,1,12,True,0.1165,0.026843000203371048
F7-T7,FP1-F3,1,4,False,0.0,0.026507999747991562
FP2-F4,FP2-F8,8,12,True,0.1802,0.025916000828146935
F3-C3,FP2-F4,5,8,False,0.0,0.02580299973487854
FP2-F4,F4-C4,8,9,False,0.0,0.024966999888420105
F7-T7,FP2-F4,1,8,False,0.0,0.02484999969601631
F8-T8,FZ-CZ,13,16,False,0.0,0.024817999452352524
FP1-F3,FZ-CZ,4,16,False,0.0,0.023653000593185425
FP2-F4,FZ-CZ,8,16,False,0.0,0.02215700037777424
