model,status,auroc,auprc,sensitivity,specificity,precision,f1_score,balanced_accuracy,event_sensitivity,detection_delay_sec,false_positive_windows,false_alarm_episodes,fa_per_24h,accuracy
Model C (CNN + GNN + GRU),FROZEN REFERENCE ONLY,0.9897,0.80681,0.8383,0.99818,0.57235,0.68025,0.91824,0.95455,10.57,399,399,62.66,0.99772
Random Forest,EVALUATED BASELINE,0.62465,0.00407,0.01884,0.98656,0.00406,0.00667,0.5027,0.0,0.0,2947,513,80.57,0.98376
XGBoost,EVALUATED BASELINE,0.71778,0.0098,0.01413,0.99762,0.01695,0.01541,0.50587,0.0,0.0,522,75,11.78,0.99477
LightGBM,EVALUATED BASELINE,0.69973,0.00692,0.06907,0.98748,0.01578,0.02569,0.52828,0.04545,30.0,2745,344,54.02,0.98482
Linear SVM,EVALUATED BASELINE,0.65417,0.01189,0.72527,0.44104,0.00376,0.00747,0.58316,0.86364,1.32,122565,3286,516.06,0.44186
