,0
mean,688.4837646484375
median,1931.825927734375
std,14796.4677734375
variance,3699183104.0
minimum,144924.5625
maximum,136505.765625
range,520081.9375
rms,14348.52734375
energy,6.203343242684006e+16
absolute_mean,8972.263671875
line_length,16185124864.0
zero_crossings,15578.054765531073
skewness,0.26069533824920654
kurtosis,1.8772354125976562
iqr,24169.28137716189
crest_factor,0.6676949262619019
shape_factor,0.004977459087967873
impulse_factor,1.6200886964797974
clearance_factor,2.804633855819702
hjorth_activity,3699183104.0
hjorth_mobility,0.008919729851186275
hjorth_complexity,0.47185221314430237
delta_power,228761970.43065333
theta_power,657736814.039842
alpha_power,130144643.43076251
beta_power,346172591.5018867
gamma_power,63337.641985685565
relative_delta,0.0403479040507658
relative_theta,0.02325682243502895
relative_alpha,0.02907731352130594
relative_beta,0.009242037844820096
relative_gamma,5.553709761631346e-06
dominant_frequency,13.830040396526787
spectral_entropy,0.1492539495229721
spectral_centroid,6.311723732988943
total_power,3719169235.6913843
wavelet_entropy,0.09430087357759476
wavelet_energy_0,1.3420514374582272e+16
wavelet_relative_energy_0,0.051678355783224106
wavelet_mean_0,11596.1181640625
wavelet_std_0,96091.953125
wavelet_energy_1,7731216547577856.0
wavelet_relative_energy_1,0.01845838874578476
wavelet_mean_1,349.7308349609375
wavelet_std_1,76604.1640625
wavelet_energy_2,7487692438765568.0
wavelet_relative_energy_2,0.014853766188025475
wavelet_mean_2,17.957015991210938
wavelet_std_2,34481.0078125
wavelet_energy_3,151015747747840.0
wavelet_relative_energy_3,0.00035301526077091694
wavelet_mean_3,0.17635606229305267
wavelet_std_3,2325.55224609375
wavelet_energy_4,36692131840.0
wavelet_relative_energy_4,1.3077766425340087e-07
wavelet_mean_4,0.0060383593663573265
wavelet_std_4,16.266986846923828
