Model,Architecture,Parameters,Best Epoch,Val AUPRC,Val AUROC,Val Sensitivity,Val Specificity,Val FA / 24h,Test AUPRC,Test AUROC,Test Sensitivity,Test Specificity,Test Precision,Test F1,Test Balanced Acc,Event Sensitivity,Detected Seizures,Total Seizures,Missed Seizures,Mean Delay (s),Median Delay (s),False Alarms Total,False Alarms / 24h,Inference Latency (ms),Training Time (s)
EEGNet,Compact 2D Temporal + Depthwise Separable Conv,2113,3,0.06439,0.81239,0.42219,0.91917,2785.79,0.04037,0.82506,0.59498,0.81417,0.00922,0.01815,0.70457,1.0,22,22,0,5.57,3.5,40748,6399.24,0.2935,1570.97
ShallowConvNet,Temporal + Spatial Conv with Log-Variance Bandpower,41041,2,0.07115,0.81831,0.35047,0.97185,970.05,0.03746,0.84763,0.54317,0.87588,0.01255,0.02454,0.70952,0.9545,21,22,1,5.43,3.0,27217,4274.28,0.2545,1746.0
DeepConvNet,4-Stage Deep Temporal + Spatial ConvNet with Max Pooling,178776,3,0.0195,0.77104,0.28281,0.92823,2473.28,0.07248,0.85335,0.47724,0.89906,0.01355,0.02635,0.68815,0.9091,20,22,2,16.45,8.5,22134,3476.02,0.3424,1714.89
Lightweight 1D CNN,Multi-Scale 1D Channel-Independent Temporal ConvNet,173601,3,0.08425,0.80752,0.22733,0.98753,429.8,0.08721,0.87227,0.45055,0.93765,0.02056,0.03933,0.6941,1.0,22,22,0,7.05,5.5,13672,2147.11,0.3399,1267.87
Model C (Frozen Reference),Spatial CNN + GNN (theta=0.30) + Causal GRU,91858,3,0.42002,0.90414,0.5123,0.9985,41.2,0.80681,0.9897,0.8383,0.99818,0.57235,0.68025,0.91824,0.9545,21,22,1,10.57,9.0,399,62.66,0.01,145.0
