epoch,train_loss,val_auprc,val_auroc,val_sensitivity,val_specificity,val_precision,val_f1,val_balanced_accuracy,val_event_sensitivity,val_false_alarms_per_24h,val_mean_detection_delay_sec,live_rss_mb,peak_rss_mb,epoch_time_sec
1,0.02684,0.01705,0.73158,0.16103,0.95603,0.00916,0.01734,0.55853,0.56,1515.36,19.96,1975.1,5882.5,583.2
2,0.01659,0.01806,0.75242,0.24899,0.93485,0.00956,0.01841,0.59192,0.68,2245.19,14.56,1340.8,5882.5,564.0
3,0.01285,0.0195,0.77104,0.28281,0.92823,0.00985,0.01904,0.60552,0.64,2473.28,12.47,1345.8,5882.5,567.5
