epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1,train_auroc,val_auroc,train_auprc,val_auprc,val_event_sensitivity,val_false_alarms_per_24h,val_detection_delay_sec,learning_rate,epoch_duration_sec
1,0.01927,0.01114,0.94138,0.98751,0.88728,0.10312,0.40689,0.51421,0.55793,0.17179,0.87423,0.90273,0.64349,0.25547,0.64,389.17,8.41,0.0007525,4.8
2,0.01569,0.0142,0.95042,0.97837,0.93169,0.06621,0.49063,0.57916,0.64277,0.11884,0.90472,0.90614,0.73979,0.21442,0.64,710.76,7.78,0.00025750000000000013,2.5
3,0.01521,0.01428,0.95114,0.97863,0.93269,0.06673,0.49849,0.57645,0.64972,0.11961,0.912,0.90486,0.75231,0.27168,0.64,701.57,7.78,1e-05,2.4
