epoch,train_loss,train_auprc,train_auroc,val_auprc,val_auroc,val_sensitivity,val_specificity,val_precision,val_f1,val_balanced_accuracy,val_event_sensitivity,val_false_alarms_per_24h,val_mean_detection_delay_sec,live_rss_mb,peak_rss_mb,epoch_time_sec
1,0.02057,0.66506,0.8767,0.27008,0.90238,0.66712,0.9646,0.04543,0.08506,0.81586,0.64,1219.92,9.38,1246.7,2688.0,55.9
2,0.01468,0.78408,0.92847,0.21918,0.92065,0.80379,0.89318,0.01865,0.03645,0.84849,0.64,3681.19,7.97,1472.6,2688.0,52.2
3,0.01175,0.84781,0.95812,0.18267,0.89946,0.6793,0.9424,0.02892,0.05547,0.81085,0.6,1985.08,9.13,1646.5,2688.0,51.6
