Model,Architecture,Trainable Params,Total Params,Val AUPRC,Val AUROC,Test AUPRC,Test AUROC,Test Sensitivity,Test Specificity,Test Precision,Test F1,Test Balanced Acc,Event Sensitivity,Detected Seizures,Total Seizures,Missed Seizures,Mean Delay (s),Median Delay (s),False Alarms Total,False Alarms / 24h,Peak RSS (MB),Inference Latency (ms),Training Time (s)
GRU,Causal GRU,39361,91858,0.39365,0.89046,0.7545,0.9834,0.76766,0.99875,0.64173,0.69907,0.88321,0.9545,21,22,1,11.88,9.0,273,42.87,2677.6,0.4621,151.21
LSTM,Causal LSTM,51777,104274,0.35615,0.91902,0.74638,0.98641,0.82104,0.99726,0.4653,0.59398,0.90915,0.9545,21,22,1,10.45,8.0,601,94.38,2676.8,0.1529,134.29
TCN,Causal TCN,60417,112914,0.27008,0.90238,0.71582,0.98067,0.87598,0.9964,0.41395,0.56222,0.93619,1.0,22,22,0,10.68,8.0,790,124.07,2688.0,0.4645,159.72
Model C (Frozen),CNN + GNN + Causal GRU,39361,91858,0.42002,0.90414,0.80681,0.9897,0.8383,0.99818,0.57235,0.68025,0.91824,0.9545,21,22,1,10.57,9.0,399,62.66,1420.0,0.01,145.0
